Project Name,URL,Status,DFI,Search Term,Reviewed
Hai Basin Integrated Water and Environment Management Project,http://projects.worldbank.org/P075035/hai-basin-integrated-water-environment-management-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Han River Urban Environment Improvement Project,http://projects.worldbank.org/P087224/han-river-urban-environment-improvement-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Hebei Clean Heating Project,http://projects.worldbank.org/P148599?lang=en,,World Bank,"China Construction Bank, Bank of China",
Heilongjiang Agricultural Development,http://projects.worldbank.org/P038988/heilongjiang-agricultural-development?lang=en,,World Bank,"China Construction Bank, Bank of China",
Henan (Qinbei) Thermal Power Project,http://projects.worldbank.org/P003531/henan-qinbei-thermal-power-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Highway Project (02),http://projects.worldbank.org/P003448/highway-project-02?lang=en,,World Bank,"China Construction Bank, Bank of China",
Huai River Basin Flood Management and Drainage Improvement,http://projects.worldbank.org/P098078/huai-river-basin-flood-management-drainage-improvement?lang=en,,World Bank,"China Construction Bank, Bank of China",
Huai River Pollution Control Project,http://projects.worldbank.org/P047345/huai-river-pollution-control-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Huarong Asset Management Corporation,https://disclosures.ifc.org/#/projectDetail/SPI/11063,,IFC,Bank of China,
Hubei Hydropower Development in Poor Areas Project,http://projects.worldbank.org/P068049/hubei-hydropower-development-poor-areas-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Hubei Shiman Highway Project,http://projects.worldbank.org/P081749/hubei-shiman-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Hubei Xiangyang Urban Transport,http://projects.worldbank.org/P119071/hubei-xiangyang-urban-transport?lang=en,,World Bank,"China Construction Bank, Bank of China",
Hubei Xiaogan-Xiangfan Highway Project,http://projects.worldbank.org/P070441/hubei-xiaogan-xiangfan-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Hubei Yiba Highway,http://projects.worldbank.org/P101258/hubei-yiba-highway?lang=en,,World Bank,"China Construction Bank, Bank of China",
Hunan Fiscal Sustainability DPO,http://projects.worldbank.org/P157406?lang=en,,World Bank,Bank of China,
INCaF Xinglong Hydro,https://disclosures.ifc.org/#/projectDetail/SPI/556906,,IFC,Bank of China,
IODINE DEFICIENCY DISORDERS CONTROL,http://projects.worldbank.org/P037156/iodine-deficiency-disorders-control?lang=en,,World Bank,Bank of China,
Industrial Credit Project,http://projects.worldbank.org/P003413/industrial-credit-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Industrial Credit Project (02),http://projects.worldbank.org/P003420/industrial-credit-project-02?lang=en,,World Bank,"China Construction Bank, Bank of China",
Industrial Credit Project (03),http://projects.worldbank.org/P003499/industrial-credit-project-03?lang=en,,World Bank,Bank of China,
Industrial Credit Project (04),http://projects.worldbank.org/P003442/industrial-credit-project-04?lang=en,,World Bank,"China Construction Bank, Bank of China",
Industrial Credit Project (05),http://projects.worldbank.org/P003510/industrial-credit-project-05?lang=en,,World Bank,"China Construction Bank, Bank of China",
Inland Waterways Project,http://projects.worldbank.org/P003493/inland-waterways-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Inner Mongolia Local Railway Project,http://projects.worldbank.org/P003543/inner-mongolia-local-railway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Innovative Financing for Air Pollution Control in Jing-Jin-Ji,http://projects.worldbank.org/P154669?lang=en,,World Bank,Bank of China,
Irrigated Agriculture Intensification  III Project,http://projects.worldbank.org/P084742/irrigated-agriculture-intensification-loan-iii?lang=en,,World Bank,"China Construction Bank, Bank of China",
JiTuHun Railway,http://projects.worldbank.org/P122321/jituhun-railway?lang=en,,World Bank,"China Construction Bank, Bank of China",
Jiangsu Provincial Transport Project,http://projects.worldbank.org/P003572/jiangsu-provincial-transport-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Jiangxi Integrated Agricultural Modernization Project,http://projects.worldbank.org/P065463/jiangxi-integrated-agricultural-modernization-project?lang=en,,World Bank,Bank of China,
Karamay Petroleum Project,http://projects.worldbank.org/P003423/karamay-petroleum-project?lang=en,,World Bank,Bank of China,
Kenya Private Sector Power Generation Support Project,http://projects.worldbank.org/P122671/partial-risk-guarantees-ipps-kenya?lang=en,,World Bank,"China Construction Bank, Bank of China",
Liao River Basin Project,http://projects.worldbank.org/P051859/liao-river-basin-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Liaoning Urban Transport Project,http://projects.worldbank.org/P041890/liaoning-urban-transport-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Liuzhou Environment Management Project Phase II,http://projects.worldbank.org/P112626/liuzhou-environment-management-project-phase-ii?lang=en,,World Bank,"China Construction Bank, Bank of China",
Micro and Small Enterprise Finance Project,http://projects.worldbank.org/P096285/micro-small-enterprise-finance-project?lang=en,,World Bank,Bank of China,
Mid Yangtze Agricultural Development Project,http://projects.worldbank.org/P003541/mid-yangtze-agricultural-development-project?lang=en,,World Bank,Bank of China,
Millicom Tchad SA,https://disclosures.ifc.org/#/projectDetail/ESRS/34297,,IFC,Bank of China,
Millicom Tchad SA,https://disclosures.ifc.org/#/projectDetail/SII/34297,,IFC,Bank of China,
Montreal Protocol Ozone Depleting Substances Phase Out Project (02),http://projects.worldbank.org/P003408/montreal-protocol-ozone-depleting-substances-phase-out-project-02?lang=en,,World Bank,Bank of China,
Montreal Protocol Ozone Depleting Substances Phase Out Project (03),http://projects.worldbank.org/P003409/montreal-protocol-ozone-depleting-substances-phase-out-project-03?lang=en,,World Bank,Bank of China,
National Afforestation Project,http://projects.worldbank.org/P003463/national-afforestation-project?lang=en,,World Bank,Bank of China,
National Highway (01) Project,http://projects.worldbank.org/P003504/national-highway-01-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
National Highway (02) Project,http://projects.worldbank.org/P003654/national-highway-02-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
National Railway Project,http://projects.worldbank.org/P058846/national-railway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Ningxia Desertification Control and Ecological Protection Project,http://projects.worldbank.org/P121289/ningxia-desertification-control-ecological-protection-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Ningxia Highway Project,http://projects.worldbank.org/P096920/ningxia-highway-project?lang=en,,World Bank,Bank of China,
North China Plains Agricultural Project,http://projects.worldbank.org/P003411/north-china-plains-agricultural-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Northern Irrigation Project,http://projects.worldbank.org/P003474/northern-irrigation-project?lang=en,,World Bank,Bank of China,
PSBC Equity,https://disclosures.ifc.org/#/projectDetail/SII/35461,,IFC,Bank of China,
Penonome Wind,https://disclosures.ifc.org/#/projectDetail/SII/34810,,IFC,Bank of China,
Phosphate Development Project,http://projects.worldbank.org/P003456/phosphate-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Power Project (02),http://projects.worldbank.org/P003435/power-project-02?lang=en,,World Bank,"China Construction Bank, Bank of China",
Power Project (02),http://projects.worldbank.org/P003671/power-project-02?lang=en,,World Bank,"China Construction Bank, Bank of China",
Power Project (03),http://projects.worldbank.org/P003672/power-project-03?lang=en,,World Bank,"China Construction Bank, Bank of China",
Promoting Rural Financial Market,http://projects.worldbank.org/P087919/promoting-rural-financial-market?lang=en,,World Bank,Bank of China,
RMS Credit Reporting Development in China,https://disclosures.ifc.org/#/projectDetail/AS/588467,,IFC,Bank of China,
Railway Project (02),http://projects.worldbank.org/P003437/railway-project-02?lang=en,,World Bank,Bank of China,
Railway Project (02),http://projects.worldbank.org/P003666/railway-project-02?lang=en,,World Bank,Bank of China,
Railway Project (03),http://projects.worldbank.org/P003459/railway-project-03?lang=en,,World Bank,"China Construction Bank, Bank of China",
Railway Project (04),http://projects.worldbank.org/P003472/railway-project-04?lang=en,,World Bank,"China Construction Bank, Bank of China",
Rural Credit 03 Project,http://projects.worldbank.org/P003461/rural-credit-03-project?lang=en,,World Bank,Bank of China,
Rural Credit Project,http://projects.worldbank.org/P003418/rural-credit-project?lang=en,,World Bank,Bank of China,
Rural Credit Project (02),http://projects.worldbank.org/P003439/rural-credit-project-02?lang=en,,World Bank,Bank of China,
Rural Credit Project (04),http://projects.worldbank.org/P003554/rural-credit-project-04?lang=en,,World Bank,Bank of China,
SHANGHAI ENVIRONMENT PROJECT,http://projects.worldbank.org/P003586/shanghai-environment-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
SOUTHERN JIANGSU ENVIRONMENTAL PROTECTION PROJECT,http://projects.worldbank.org/P003580/southern-jiangsu-environmental-protection-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Second Anhui Highway Project,http://projects.worldbank.org/P076714/second-anhui-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Second National Railways Project (Zhe-Gan Line),http://projects.worldbank.org/P075602/second-national-railways-project-zhe-gan-line?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shaanxi Provincial Highway Project,http://projects.worldbank.org/P003530/shaanxi-provincial-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shandong Energy Efficiency Project,http://projects.worldbank.org/P114069/shandong-energy-efficiency-project?lang=en,,World Bank,Bank of China,
Shandong Flue Gas Desulfurization,http://projects.worldbank.org/P093882/shandong-flue-gas-desulfurization?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shandong Provincial Highway Project,http://projects.worldbank.org/P003523/shandong-provincial-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shanghai Environment Liquid Waste Project,http://projects.worldbank.org/P003449/shanghai-environment-liquid-waste-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shanghai Industrial Development Project,http://projects.worldbank.org/P003511/shanghai-industrial-development-project?lang=en,,World Bank,Bank of China,
Shanghai Machine Tools Industry Project,http://projects.worldbank.org/P003445/shanghai-machine-tools-industry-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shanghai Metropolitan Transport Project (02),http://projects.worldbank.org/P003622/shanghai-metropolitan-transport-project-02?lang=en,,World Bank,Bank of China,
Shanghai Urban Environment Project,http://projects.worldbank.org/P070191/shanghai-urban-environment-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shenyang Industrial Reform Project,http://projects.worldbank.org/P003585/shenyang-industrial-reform-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shenzhen VTB,https://disclosures.ifc.org/#/projectDetail/SPI/29386,,IFC,"China Construction Bank, Bank of China",
Shuikou Hydroelectric Project,http://projects.worldbank.org/P003484/shuikou-hydroelectric-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Shuikou Hydroelectric Project (02),http://projects.worldbank.org/P003526/shuikou-hydroelectric-project-02?lang=en,,World Bank,"China Construction Bank, Bank of China",
Sichuan Provincial Highway Development Project,http://projects.worldbank.org/P003524/sichuan-provincial-highway-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Sichuan Urban Development Project,http://projects.worldbank.org/P083322/sichuan-urban-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Smallholder Cattle Development Project,http://projects.worldbank.org/P045264/smallholder-cattle-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
State Farms Commercialization Project,http://projects.worldbank.org/P003591/state-farms-commercialization-project?lang=en,,World Bank,Bank of China,
Sustainable Coastal Resource Development Project,http://projects.worldbank.org/P003539/sustainable-coastal-resource-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Sustainable Development in Poor Rural Areas,http://projects.worldbank.org/P099751/sustainable-development-poor-rural-areas?lang=en,,World Bank,Bank of China,
TAI BASIN URBAN ENVIRONMENT PROJECT,http://projects.worldbank.org/P057933/tai-basin-urban-environment-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Tachien Power Project,http://projects.worldbank.org/P003667/tachien-power-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Technical Cooperation Project (04),http://projects.worldbank.org/P042299/technical-cooperation-project-04?lang=en,,World Bank,Bank of China,
Telecommunications Project,http://projects.worldbank.org/P003664/telecommunications-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Telecommunications Project (01),http://projects.worldbank.org/P003633/telecommunications-project-01?lang=en,,World Bank,"China Construction Bank, Bank of China",
Thermal Power Efficiency,http://projects.worldbank.org/P098654/thermal-power-efficiency?lang=en,,World Bank,Bank of China,
Third Inland Waterways,http://projects.worldbank.org/P056199/third-inland-waterways?lang=en,,World Bank,"China Construction Bank, Bank of China",
Third Jiangxi Highway Project,http://projects.worldbank.org/P093906/third-jiangxi-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Third National Railway Project,http://projects.worldbank.org/P086515/third-national-railway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Three Gorges Modern Logistics Center Infrastructure Project,http://projects.worldbank.org/P153473?lang=en,,World Bank,"China Construction Bank, Bank of China",
Tianhuangping Hydroelectric Project ,http://projects.worldbank.org/P003616/tianhuangping-hydroelectric-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Tianjin Industrial Development Project,http://projects.worldbank.org/P003533/tianjin-industrial-development-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Tianjin Light Industry Project,http://projects.worldbank.org/P003464/tianjin-light-industry-project?lang=en,,World Bank,Bank of China,
Tianjin Port Project,http://projects.worldbank.org/P003458/tianjin-port-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Tonga Economic Recovery Operation,http://projects.worldbank.org/P126453/tonga-economic-recovery-operation?lang=en,,World Bank,Bank of China,
Tri - Provincial Highway Project,http://projects.worldbank.org/P045788/tri-provincial-highway-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
University Development Project,http://projects.worldbank.org/P003410/university-development-project?lang=en,,World Bank,Bank of China,
Urumqi Urban Transport Improvement Project,http://projects.worldbank.org/P045915/urumqi-urban-transport-improvement-project?lang=en,,World Bank,"China Construction Bank, Bank of China",
Waigaoqiao Thermal Power Project,http://projects.worldbank.org/P044485/waigaoqiao-thermal-power-project?lang=en,,World Bank,Bank of China,
Wanjiazhai Water Transfer Project,http://projects.worldbank.org/P036405/wanjiazhai-water-transfer-project?lang=en,,World Bank,Bank of China,
